Date,Plate,Sample,Species,Mass,Count,Pollen,Water ,Reading
9/8/2021,A9,AE,Arnica fulgens,2.04,10,10,150,0.123
9/8/2021,B9,AE,Arnica fulgens,2.04,10,10,150,0.124
9/8/2021,C9,AE,Arnica fulgens,2.04,10,10,150,0.137
9/8/2021,D11,AS,Artemisia frigida,17.67,150,10,150,0.163
9/8/2021,E11,AS,Artemisia frigida,17.67,150,10,150,0.16
9/8/2021,F11,AS,Artemisia frigida,17.67,150,10,150,0.321
9/8/2021,D6,AT,Artemisia ludoviciana,17.39,150,10,150,0.157
9/8/2021,E6,AT,Artemisia ludoviciana,17.39,150,10,150,0.154
9/8/2021,F6,AT,Artemisia ludoviciana,17.39,150,10,150,0.15
9/8/2021,A5,EE,Calochortus gunnisonii,6.75,9,10,150,0.178
9/8/2021,B5,EE,Calochortus gunnisonii,6.75,9,10,150,0.186
9/8/2021,C5,EE,Calochortus gunnisonii,6.75,9,10,150,0.184
9/8/2021,D9,AN,Camelina microcarpa,1.59,50,10,150,0.197
9/8/2021,E9,AN,Camelina microcarpa,1.59,50,10,150,0.202
9/8/2021,F9,AN,Camelina microcarpa,1.59,50,10,150,0.175
9/8/2021,D5,JJ,Campanula rotundifolia,2.9,9,10,150,0.17
9/8/2021,E5,JJ,Campanula rotundifolia,2.9,9,10,150,0.164
9/8/2021,F5,JJ,Campanula rotundifolia,2.9,9,10,150,0.17
9/8/2021,A8,ZZ,Potentilla fissa,2.05,10,10,150,0.14
9/8/2021,B8,ZZ,Potentilla fissa,2.05,10,10,150,0.142
9/8/2021,C8,ZZ,Potentilla fissa,2.05,10,10,150,0.119
9/8/2021,D10,AQ,Ericameria nauseosa,4.64,10,10,150,0.158
9/8/2021,E10,AQ,Ericameria nauseosa,4.64,10,10,150,0.157
9/8/2021,F10,AQ,Ericameria nauseosa,4.64,10,10,150,0.161
9/8/2021,A4,S,Frasera speciosa,6.4,11,10,150,0.168
9/8/2021,B4,S,Frasera speciosa,6.4,11,10,150,0.171
9/8/2021,C4,S,Frasera speciosa,6.4,11,10,150,0.174
9/8/2021,D4,CC,Grindelia squarrosa,1.9,7,10,150,0.178
9/8/2021,E4,CC,Grindelia squarrosa,1.9,7,10,150,0.18
9/8/2021,F4,CC,Grindelia squarrosa,1.9,7,10,150,0.195
9/8/2021,D2,L,Lupinus argenteus,2.3,65,10,150,0.294
9/8/2021,E2,L,Lupinus argenteus,2.3,65,10,150,0.243
9/8/2021,F2,L,Lupinus argenteus,2.3,65,10,150,0.227
9/8/2021,A7,UU,Saxifraga rhomboidea,2.44,8,10,150,0.153
9/8/2021,B7,UU,Saxifraga rhomboidea,2.44,8,10,150,0.157
9/8/2021,C7,UU,Saxifraga rhomboidea,2.44,8,10,150,0.162
9/8/2021,D3,R,Oxytropis lambertii,2.3,70,10,150,0.19
9/8/2021,E3,R,Oxytropis lambertii,2.3,70,10,150,0.22
9/8/2021,F3,R,Oxytropis lambertii,2.3,70,10,150,0.231
9/8/2021,D8,AD,Pulsatilla nuttalliana,2.42,5,10,150,0.145
9/8/2021,E8,AD,Pulsatilla nuttalliana,2.42,5,10,150,0.151
9/8/2021,F8,AD,Pulsatilla nuttalliana,2.42,5,10,150,0.166
9/8/2021,A2,B,Rosa woodsii,10.4,6,10,150,0.15
9/8/2021,B2,B,Rosa woodsii,10.4,6,10,150,0.22
9/8/2021,C2,B,Rosa woodsii,10.4,6,10,150,0.156
9/8/2021,A11,AR,Solidago multiradiata,3.48,28,10,150,0.13
9/8/2021,B11,AR,Solidago multiradiata,3.48,28,10,150,0.14
9/8/2021,C11,AR,Solidago multiradiata,3.48,28,10,150,0.148
9/8/2021,A10,AP,Symphyotrichum porteri,6.02,15,10,150,0.128
9/8/2021,B10,AP,Symphyotrichum porteri,6.02,15,10,150,0.213
9/8/2021,C10,AP,Symphyotrichum porteri,6.02,15,10,150,0.219
9/8/2021,A3,Q,Thermopsis montana,5.8,30,10,150,0.202
9/8/2021,B3,Q,Thermopsis montana,5.8,30,10,150,0.191
9/8/2021,C3,Q,Thermopsis montana,5.8,30,10,150,0.267
9/8/2021,D7,YY,Toxicoscordion venenosum,1.55,110,10,150,0.148
9/8/2021,E7,YY,Toxicoscordion venenosum,1.55,110,10,150,0.158
9/8/2021,F7,YY,Toxicoscordion venenosum,1.55,110,10,150,0.158
9/8/2021,A6,NN,Tragopogon dubius,3.49,7,10,150,0.143
9/8/2021,B6,NN,Tragopogon dubius,3.49,7,10,150,0.155
9/8/2021,C6,NN,Tragopogon dubius,3.49,7,10,150,0.173
